"","Rk","Player","Pos","Age","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"389","389","Kelly Oubre Jr.","SF",28,68,52,30.2,5.7,12.9,0.441,1.5,4.8,0.311,4.2,8.1,0.517,0.498,2.6,3.4,0.75,1.4,3.6,5,1.5,1.1,0.7,1.3,2.9,15.4,"13.5",".535",".370",".264","5.0","13.5","9.2","7.3","1.8","2.1","8.2","22.4","0.6","2.4","3.0",".070","-1.5","-0.7","-2.3","-0.1"
"390","390","Chris Paul","PG",38,58,18,26.4,3.6,8.1,0.441,1.3,3.6,0.371,2.2,4.4,0.498,0.525,0.7,0.9,0.827,0.3,3.6,3.9,6.8,1.2,0.1,1.3,1.9,9.2,"14.7",".544",".450",".111","1.3","14.4","7.9","33.4","2.2","0.4","13.4","15.6","2.6","1.7","4.3",".136","-0.2","1.2","1.0","1.2"
"391","391","Cameron Payne","PG",29,78,10,16.7,2.7,6.2,0.432,1.3,3.4,0.39,1.3,2.7,0.486,0.541,0.7,0.9,0.866,0.3,1.2,1.5,2.6,0.5,0.1,0.8,1.6,7.4,"12.8",".566",".555",".139","1.8","8.1","4.9","21.9","1.6","0.8","11.4","19.1","1.4","1.0","2.4",".089","-0.5","-0.6","-1.1","0.3"
"392","392","Gary Payton II","SG",31,44,0,15.5,2.3,4.2,0.563,0.5,1.3,0.364,1.9,2.9,0.648,0.617,0.3,0.5,0.609,1,1.5,2.6,1.1,0.9,0.4,0.6,1.8,5.5,"13.9",".621",".301",".126","7.4","10.5","9.0","9.4","2.8","2.4","12.3","13.6","0.9","0.9","1.8",".125","-1.3","2.2","0.9","0.5"
"393","393","Mãozinha Pereira","SF",23,7,1,17.4,2.6,5,0.514,0.7,1.9,0.385,1.9,3.1,0.591,0.586,1,1.4,0.7,1.6,3.7,5.3,0.3,0.9,0.6,0.7,1.4,6.9,"15.7",".609",".371",".286","9.5","24.3","16.6","2.5","2.4","3.1","11.3","15.6","0.1","0.2","0.3",".123","-1.2","0.7","-0.5","0.0"
"394","394","Drew Peterson","PF",24,3,0,7.7,1.3,2,0.667,1,1.7,0.6,0.3,0.3,1,0.917,0,0,NA,0,0.3,0.3,0.3,0.7,0,0.3,0.3,3.7,"18.5",".917",".833",".000","0.0","4.5","2.3","5.9","4.3","0.0","14.3","13.3","0.1","0.0","0.1",".194","3.8","1.6","5.3","0.0"
"395","395","Filip Petrušev","C",23,3,0,3.3,0.3,0.7,0.5,0,0,NA,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0,0.3,1,"5.1",".521",".000","1.000","0.0","11.2","5.5","0.0","0.0","0.0","0.0","12.3","0.0","0.0","0.0",".029","-4.7","-3.3","-8.0","0.0"
"396","396","Julian Phillips","SF",20,40,0,8.1,0.8,1.9,0.416,0.3,1,0.316,0.5,1,0.513,0.494,0.3,0.5,0.684,0.3,0.6,0.9,0.3,0.2,0.2,0.3,1,2.2,"7.0",".521",".494",".247","4.1","8.5","6.2","5.3","1.1","2.2","10.5","13.0","0.0","0.2","0.2",".031","-4.7","-0.6","-5.3","-0.3"
"397","397","Jalen Pickett","SG",24,27,0,4.5,0.6,1.3,0.429,0.3,0.9,0.36,0.2,0.4,0.6,0.557,0.1,0.1,0.75,0,0.5,0.5,0.8,0.1,0,0.3,0.5,1.6,"9.7",".571",".714",".114","0.9","11.5","6.4","21.7","1.6","0.0","19.7","16.4","0.0","0.1","0.2",".065","-2.7","-0.5","-3.3","0.0"
"398","398","Scotty Pippen Jr.","PG",23,21,16,25.1,4.8,9.7,0.493,1.4,3.4,0.417,3.3,6.2,0.534,0.567,2,2.6,0.745,1,2.1,3.2,4.7,1.7,0.5,2.7,2.9,12.9,"16.4",".596",".355",".271","4.4","9.7","7.0","30.7","3.3","1.8","19.8","23.0","0.3","0.7","1.0",".090","-0.1","1.4","1.3","0.4"
